Tag;English_Source
BattleStatEntry_Content;<b>{{0=PlayerName}}</b>, please enter your Warrior's statistics with honesty and integrity in view of all players. <i>If you make a mistake, at the end you will have the option to return here and start again.</i>
IsoVerify_Content;Any player who did not visit the Town Hall to verify their identity is penalized for failing to comply with the local ordinance:<br>{{4=?|<br><b>{{0=pA}}</b> loses 4VP and must discard an Estate Upgrade and return it to the board.}}{{5=?|<br><b>{{1=pB}}</b> loses 4VP and must discard an Estate Upgrade and return it to the board.}}{{6=?|<br><b>{{2=pC}}</b> loses 4VP and must discard an Estate Upgrade and return it to the board.}}{{7=?|<br><b>{{3=pD}}</b> loses 4VP and must discard an Estate Upgrade and return it to the board.}}{{8=?|<br>Every player complied with the local ordinance, so no penalty will be applied.}}
Isolation_Setup_Content;Turn to page <b>14</b> of the Village Chronicle. Place the Suspicion Marker on space <b>{{0=Tracker}}</b> and the <icon=AngryMob_Icon> token one space to the left. Return all Memorial bricks to the Scenario box.<br />{{1=?|Then, since this is a 3 player game, pass the starting player marker clockwise 1 additional time.}}
S4Con2A_Setup_Content;{{1=|Nothing happens.|You lose 1VP and gain 1 <icon=Creepy_Icon>.|You lose {{0=vpLoss}}VP.}}
SmugEvent2A_Setup_Content;{{5=?|Because this is a 2-player game, the player who collected the most Collaboration tokens <icon=S2_CollaborativeToken> gains 4VP. (In a tie, neither player receives this reward.)<br><br>}}Remove the Experiment card and all Collaboration tokens <icon=S2_CollaborativeToken> from the game and return them to the Scenario box.<br><br>Because the Town Hall was destroyed along with all records, any player who took the time to verify their identity is now considered a trusted citizen of the town:<br>{{6=?|<b>{{0=pA}}</b><br>}}{{7=?|<b>{{1=pB}}</b><br>}}{{8=?|<b>{{2=pC}}</b><br>}}{{9=?|<b>{{3=pD}}</b><br>}}{{10=?|Each player listed above loses {{4=creepyLoss}} <icon=Creepy_Icon>.|No player managed to do so.}}
SmugEventA_Setup_Content;Take an unused {{1=|Biology|Chemistry|Engineering}} Experiment card and place it face down near the Town Board.<br><br>Retrieve {{0=collab}} Collaboration tokens <icon=S2_CollaborativeToken> from the Scenario box and place them on this card.
TenseEventBad2No_Setup_Content;Move the <icon=AngryMob_Icon> Marker {{0=moveRight}} spaces to the right.{{1=?|<br><br>All players who voted YAY gain 1 Knowledge cube of their choice.}}
S4Con2_Content1;<link=0>Pay ${{0=bribeAmount}} to the supply and click here.</link>
S4Con2_Content2;<link=0>Accept the Outcome.</link>
SmugEvent_Content1;<link=0>Complete a Biology Experiment.</link>
SmugEvent_Content2;<link=0>Complete a Chemistry Experiment.</link>
SmugEvent_Content3;<link=0>Complete an Engineering Experiment.</link>
TenseEventBad2Res_Content1;<link=0>We voted to steal. (YAY)</link>
TenseEventBad2Res_Content2;<link=0>We voted against. (NAY)</link>
TwoPTenseEvent2_Content1;<link=0>I choose to steal resources.</link>
TwoPTenseEvent2_Content2;<link=0>I choose to remain ethical and do nothing.</link>
WallCheck_Content1;If {{0=bricks}} or more pieces have been purchased, <link=0>click here...</link>
WallCheck_Content2;If fewer than {{0=bricks}} bricks have been purchased, <link=0>click here...</link>
Creature_Title;The Creature Re-emerges
Creature_EarlySetup_Title;Setup
Creature_EarlySetup_Content;Turn to page <b>{{1=?|4|5}}</b> of the Village Chronicle. Retrieve the <b>Puppy</b> and <b>Bride</b> Special Experiment cards from the Scenario box. Retrieve the <b>Ball and Chain</b> Estate Upgrades.<br /><br />Place the Suspicion Marker on space <b>{{0=5}}</b> and the <icon=AngryMob_Icon> Marker one space to the left.{{2=?|<br /><br />Then, since this is a 3 player game, pass the starting player marker clockwise 1 additional time.}}
Creature_MiddleSetup_Title;Setup
Creature_MiddleSetup_Content;<sprite=VillageChronicleCover>Turn to page <b>{{0=?|6|7}}</b> of the Village Chronicle.
Creature_AsylumEarly_Title;The Asylum
Creature_AsylumEarly_Content;The town has resolved to provide safety for its citizens, but not repeat the mistakes of the past. The ground is already broken for the construction of the new Asylum. At the end of this round, it will be built.
Creature_Asylum_Title;<icon=StorybookToken> The Asylum
Creature_Asylum_Content;Visiting the Asylum allows you to <b>lose 1 <icon=Insanity_Icon></b>. When you visit the Asylum for the <b>first time</b>, click below for a message.
Creature_Business_Title;<icon=StorybookToken> Business Meeting
Creature_Business_Content;Visiting the <b>House on the Hill</b> allows you to <b>gain $2</b>. When you visit the Businessman for the <b>first time</b>, click below for a message.
Creature_Requests_Title;<icon=StorybookToken> Creature's Requests
Creature_Requests_Content;When taking the <b>Perform Experiment</b> action, the <b>Puppy</b> and <b>Bride</b> Experiments are available for any player to complete as if they were in their hand. <i>Only one player may complete each Experiment.</i><br /><br />When a player completes one of the Monster's Experiments, click below to see the consequences.
Creature_Church_Title;The Church
Creature_Church_Content;Click below for an explanation of the Church location if needed.
Creature_ObsessionFAQ_Title;Obsessions
Creature_ObsessionFAQ_Content;Click below for a reminder of how Obsession cards work.
Creature_EndOfRound_Title;End of the Round
Creature_EndOfRound_Content;Once every player has finished their turns, click below to move to the next round.
TheCreatureYes_Setup_Content;Retrieve <b>The Creature Masterwork Upgrade</b> card from the Scenario box. Then, give it to the player with <b>THE CREATURE</b> Masterwork Experiment. This card goes into effect immediately and must be kept face-up near that player's Estate for the remainder of the game.
Guilt_Setup_Content;<b>Move backwards 1 space on a Journal Track of your choice.</b> <i>If this movement would cause you to move from Level 3 to Level 2, you must return a Vanity Upgrade you have built to the supply. If you cannot move backwards any spaces, lose 4VP.</i><br /><br />Then, collect the card and keep it face-up in your play area as a completed Experiment.
AsylumOpps_Setup_Content;Each player must <b>return a Servant to Lost</b>.
AsylumOpp2_Setup_Content;Place the <b>House on the Hill</b> tile on the main board near the Village Chronicle.<br /><br />Place a <b><icon=StorybookToken> token</b> on that Location.
AsylumMeet_Setup_Content;Choose one of the options below:<br /><br /><b>Pay $1 to gain a Caretaker from Lost.</b><br />OR<br /><b>Gain a Servant from Lost.</b>
AsylumComplete_Setup_Content;<b>{{0=Oliver}}</b> loses <b>1VP</b> <i>and has wasted everyone's time.</i>
BusThanks_UpgradeSetup_Content;Immediately gain the <b>Ball and Chain</b> Estate Upgrade.{{1=?|<br /><br /><b>Immediately gain {{0=2}}VP.</b>}}
BusThanks_VpSetup_Content;<b>Immediately gain {{0=2}}VP.</b>
CountCureQuestion1_Setup_Content;Place the <b><icon=StorybookToken> token</b> from this Location in your Quarters.<br /><br />At the End of this Generation, the Count will return. You may decide to cure him by gifting him a <b>C-Level Occult Experiment</b> at the End of the Generation.
S4Asylum_Setup_Content;Retrieve the <b>{{0=|Asylum Labor Union|Key to the Asylum|Asylum Share}}</b> Estate Upgrades from the Scenario box.
S4Asylum2_Setup_Content;<b>Option to Donate</b><br />Each player, in turn order, now has the opportunity to purchase this Upgrade for <b>${{0=2}}</b> or decline. If purchased, the Upgrade is built immediately. <i>(You must still pay any costs to expand to a new plot if required.)</i><br /><br />Once all have chosen, click the accept button.
CureCountYes_Setup_Content;Gain <b>2VP.</b><br /><br />Discard one completed C-Level Occult Experiment.
Payment1Thanks_Setup_Content;<b>Immediately pay ${{0=3}} to the supply.</b>
S4BadCreature_Setup_Content;All players place their <b>Spouse</b> piece into the <b>game box</b>. <i>This piece cannot be used for the remainder of the game.</i><br /><br />All players gain a <icon=Bodies_Icon> from the supply.
RareCreatureBonus_Setup_Content;The player with a completed <b>Puppy</b> or <b>Bride</b> Experiment receives several torn pages from your grandfather's journal.<br /><br />They <b>move one space forward on the Journal Track of their choice</b> at no cost.
IsoBricksRes_Setup_Content;Confirm the Suspicion Marker has been placed on space {{0=tracker}} of the <icon=Creepy_Icon> Track.<br><br>Every 3 bricks the players have in their supply will allow them to move the Suspicion Marker 1 space to the right on the <icon=Creepy_Icon> Track. Once the players have utilized all of their bricks in this way, return all bricks to the Scenario box.<br><br>All remaining bricks are worthless.
WitchIsolationResolution_Setup_Content;{{0=witch}} gains 1 <icon=Creepy_Icon> and 2 Knowledge of their choice.
Creepy1stPlayer_Setup_Content;The player (or players) with the most VP gains 2 <icon=Creepy_Icon>.
S4IsoBrick_Setup_Content;The player with the most Brick tokens gains the "Key to the City" token as well as {{0=vpBonus}}VP. (On a tie, all tied players receive the reward.)<br>{{0=?|In addition, the player with the second-most Brick tokens also receives the "Key to the City" token.<br>}}<br><b>Keep the Brick tokens for the next Generation.</b>
Isolation_Content_Setup;<b>Setup</b><br>Turn to page 14 of the Village Chronicle.<br><br>If not already done, place the Suspicion Marker on space {{0=tracker}} of the <icon=Creepy_Icon> Track and the <icon=AngryMob_Icon> Marker one space to the left of it.<br><br>If not already done, return all Memorial bricks to the Scenario box.{{0=?|<br><br>Pass the starting player marker clockwise 1 additional time so that each player in a 3-player game is the starting player once in a Generation.}}
Isolation_Content_RisingPrices;<b>Rising Prices</b><br>Any space with a <span style="color: #E04E4E">$1 payment</span> symbol requires the player to <span style="color: #E04E4E">pay $1</span> to take the action listed.
Isolation_Content_LateSetup;<b>Setup</b><br>Turn to page {{0=dev}} of the Village Chronicle.
