Tag;English
//====== Gen2 - Martial Law ======;
GUNSAward_0_Content;Retrieve the <icon=S3_WeaponToken> tokens from the Scenario box and place them in a supply nearby.<br /><br />Any player with a <icon=StorybookToken> token from Generation 1 gains <b>2 <icon=S3_WeaponToken> tokens.</b> <i>Discard this <icon=StorybookToken> token to the Scenario box.</i><br /><br />Then,<br />Any player with a face-up Flag token matching the {{0=...|Unified Monarchists|Separatists|...}} gains <b>1 <icon=S3_WeaponToken> token.</b><br /><br />Any player with a face-up Flag token matching the {{1=...|Separatists|Unified Monarchists|...}} gains <b>2 <icon=S3_WeaponToken> tokens.</b>
AdvancedWeaponryIntro_0_Content;Retrieve the <b>Advanced Weaponry</b> Experiment cards. Shuffle these cards and place them face-down nearby to form their own deck.<br /><br />Each player then draws an <b>Advanced Weaponry</b> card.
Martial1_Setup_Content;Turn to <b>page 4</b> of the Village Chronicle. Retrieve the <b>Temporary Housing</b> Estate Upgrades.<br /><br />Place the Suspicion marker on space <b>{{0=...|6|7|8|...}}</b> of the <icon=AngryMob_Icon> track and place the <icon=AngryMob_Icon> token <b>1 space</b> to the left.{{1=?|<br /><br />Then, since this is a 3 player game, pass the Start Player token 1 additional time clockwise.}}
Martial_TurnTheTide_Content;The {{0=...|Separatists|Unified Monarchists|...}} are desperate for assistance in the failing war effort. You may draw a card from the Advanced Weaponry deck when taking any action that allows you to draw Experiments. When you complete the Experiment you will receive <icon=S3_WeaponToken> tokens equal to the amount listed at the bottom of the card, and also <b>{{1=?|gain a Knowledge of your choice from the supply|gain $2 from the supply}}</b> as a gift from the {{0=...|Separatists|Unified Monarchists|...}}.
Martial_WeaponsBonus_Content;The first player to complete <b>2 Advanced Weaponry</b> Experiments 
Martial_WeaponsBonus_ClickHere;clicks here for a special bonus.
Martial_MilitaryDemands_Content;The Monarchy demands a commitment of service from their citizenry. At the end of each round, if a player has not placed a piece on the Barracks, a penalty will be enacted upon them. This penalty will be determined by the Monarchy at the end of each round.<br /><br />When placing a piece on the Barracks, you receive <b>{{0=?|$1 for your efforts.|no bonus.}}</b>
Martial_MilitaryIncentive_Content;The Separatists urge citizens to rally to their cause. They do not require a player to offer their service, but will incentivize this dedication to the cause with a reward each round.<br /><br />When placing a piece on the Barracks, <b>{{0=|you may gain 1 Servant from Lost and lose 1 <icon=Creepy_Icon>.|you may gain 1 Servant from Lost and gain 1VP.|you may gain 1 Servant from Lost and 1 Knowledge of your choice.|you may pay $1 to gain 1 Caretaker from Lost.|you may gain 1 Caretaker from Lost.|you may gain 1 Knowledge of your choice and 1VP.}}</b>
Martial_EverythingIsAWeapon_Content;When Performing an Experiment, you may substitute 1 <icon=S3_WeaponToken> token for any 1 required Ingredient. <i>You may only do this once per Experiment.</i>
Martial_Outpost_Content;An Outpost is open in town for trading <icon=S3_WeaponToken> tokens for goods. 
Martial_Outpost_ClickHere;Click here for an explanation of the Outpost.
PackingHeat1_Content1;Choose the name of the player who completed <b>2 Advanced Weaponry</b> Experiments:
PackingHeat1a_0_Content;{{0=...|Oliver|...}} gains {{2=|1 <icon=Creepy_Icon> and 1 Resource of their choice.|1 Resource of their choice and moves the <icon=AngryMob_Icon> Marker 1 space to the left.}}<br /><br />If they have not already done so, {{0=...|Oliver|...}} may flip their Flag token to the {{1=...|Separatists|Unified Monarchists|...}} side if they wish.
OutpostExplain_Content;When you visit the Outpost, you may pay <icon=S3_WeaponToken> tokens to acquire Resources and special actions. With each visit you may perform <b>as many trades as you like</b>:<br /><br />Pay 2 <icon=S3_WeaponToken> tokens to <b>gain $1.</b><br />Pay 3 <icon=S3_WeaponToken> tokens to <b>gain a Knowledge cube of your choice.</b><br />Pay 4 <icon=S3_WeaponToken> tokens to <b>Lose 1 <icon=Creepy_Icon>.</b>
Martial1Delay_Content;Do NOT perform the End of Round actions at this time. You will be instructed to do so once a few events have been completed.
ATOWSabotageIntro1_Content;<b>Carefully hand this Storybook device to the player with the fewest VP. <i>(If tied, the one latest in turn order in the previous round.)</i> Do not allow any other players to see the screen.</b>
ATOWSabotageIntro1_0_Content1;<link=0>I chose to sabotage the village.</link>{{0=?|<br /><br /><link=1>I chose to sabotage one of my cousins.</link><br /><br /><link=2>Instead, I chose to abstain and focus upon my studies.</link>|<br /><br /><link=1>Instead, I chose to abstain and focus upon my studies.</link>}}
ATOWSabotageIntro2_Content;<b>Carefully hand this Storybook device to the player with the {{0=...|Shield|Sickle|...}} token. Do not allow any other players to see the screen.</b>
ATOWSabotageIntro2_0_Content1;<link=0>I chose to sabotage the village.</link><br /><br /><link=1>I chose to sabotage another player.</link><br /><br /><link=2>Instead, I chose to abstain and focus upon my studies.</link>
ATOWSabotageIntro2Sep_Content;<b>Carefully hand this Storybook device to the player with the {{0=...|Shield|Sickle|...}} token. Do not allow any other players to see the screen.</b>
ATOWSabotageIntro2Sep_0_Content1;<link=0>I chose to sabotage the <b>Outpost</b>.</link><br /><br /><link=1>I chose to sabotage another player.</link><br /><br /><link=2>Instead, I chose to abstain and focus upon my studies.</link>
ATOWSabotage1_Content1;<link=0>The Barracks was a worthy target for my most righteous sabotage.</link><br /><br /><link=1>The Laborer's Union was a worthy target for my most righteous sabotage.</link>
SabotagePlayerChoice1_Content1;Or I could still decide to <link=0>click here and let bygones be bygones.</link>
ATOWSabotageNO_0_Content;Gain <b>1 Knowledge cube of your choice</b>.<br />Gain <b>1 Compulsion</b>.
AMessenger_Content1;<link=0>Unified Monarchists</link><br /><br /><link=1>Separatists</link>
Amessyes_Content;<b>Carefully hand this Storybook device to the player with the {{0=...|Sickle|Shield|...}} token. Do not allow any other players to see the screen.</b>
Amessyes2_0_Content;If they wish, the player with the {{0=...|Sickle|Shield|...}} token may immediately take the <b>Shed</b> Estate Upgrade at no cost.<br /><br />Regardless of the decision, discard the {{0=...|Sickle|Shield|...}} token to the scenario box.
Amessno_0_Content;Discard the {{0=...|Sickle|Shield|...}} token to the scenario box.
AMessenger2_Content;<b>Carefully hand this Storybook device to the player with the {{0=...|Shield|Sickle|...}} token. Do not allow any other players to see the screen.</b>
AMessenger2_0_Content1;<link=0>Unified Monarchists</link><br /><br /><link=1>Separatists</link>
AMessYes2b_0_Content;Gain <b>2VP</b>. Then, discard the {{0=...|Shield|Sickle|...}} token to the scenario box.
AMessno2_0_Content;Draw <b>1 A-Level Experiment card</b> of your choice. Then, discard the {{0=...|Shield|Sickle|...}} token to the scenario box.
AfternoonTeab_Content;Each player takes a Voting token into their fist and secretly chooses a side. When all players have chosen, simultaneously reveal your votes.<br /><br />A <b>YAY</b> vote is a vote to destroy the {{0=...|Barracks|Outpost|...}}. <b>All</b> players will need to discard a completed Experiment to help with the effort.<br /><br />A <b>NAY</b> vote is a vote to keep the {{0=...|Barracks|Outpost|...}}.<br /><br /><i>A tied vote will result in <b>keep the {{0=...|Barracks|Outpost|...}}</b> being chosen.</i>
TwoPAfternoonBid_Content;Both players take all their money into their hands. They then secretly choose any amount to place into their right hand to bid.<br /><br />Once both players are ready, reveal the amount of money bid simultaneously. The winning player will gain <b>4VP</b> and the right to choose whether to sabotage the {{0=...|Barracks|Outpost|...}}.<br /><br /><i>A tied vote will result in no player winning the bid and <b>the {{0=...|Barracks|Outpost|...}}</b> being kept safe.</i><br /><br />Only the player who wins the election must pay their bid to the supply. The other returns their money to their Estate.
AfternoonTeaRes_Content;<b>Tally your votes.</b> <i>A tied vote will result in <b>keep the {{0=...|Barracks|Outpost|...}}</b> being chosen.</i><br /><br /><b>Choose the outcome of your vote:</b>
AfternoonTeaRes_Content1;<link=0>We voted to (YAY) destroy the {{0=...|Barracks|Outpost|...}}.</link><br /><br /><link=1>We voted to (NAY) keep the {{0=...|Barracks|Outpost|...}}.</link>
TwoPAfternoonBidRes_Content;The player who won the bid gains <b>4VP</b>.<br /><br /><b>The player who won the bid, choose the outcome:</b>
TwoPAfternoonBidRes_Content1;<link=0>I choose to destroy the {{0=...|Barracks|Outpost|...}}.</link><br /><br /><link=1>I choose to keep the {{0=...|Barracks|Outpost|...}}.</link>
