Tag;English;Polish
//====== Main Menu ======;;
MainMenu_NewGame;New Game;Nowa Gra
MainMenu_LoadGame;Load Game;Wczytaj Grę
MainMenu_Continue;Continue;Kontynuuj
MainMenu_Language;Language;Język
MainMenu_Back;Back;Wróć
MainMenu_PasteSaveDataHere;Paste saved game data here...;Wklej dane zapisanej gry tutaj...
MainMenu_FanMade;This is a fan-made project and is not affiliated with Renegade Game Studios or Hasbro.;Jest to projekt fanowski i nie jest on powiązany z Renegade Game Studios ani Hasbro.
//====== Languages ======;;
English;English;Angielski
Polish;Polish;Polski
//====== Players Select Screen ======;;
PlayersSelect_Title;Players;Gracze
PlayersSelect_SubTitle;How many individuals will be sharing this experience today?;Ile osób będzie dziś dzielić to doświadczenie?
PlayersSelect_Two;2 Players;2 Graczy
PlayersSelect_Three;3 Players;3 Graczy
PlayersSelect_Four;4 Players;4 Graczy
//====== Players Initial Screen ======;;
PlayersInitial_Content;As siblings of an influential family of Eastern European descent, the <b>{{0=|two|three|four}}</b> of us have received a not-insignificant portion of our family's estate.<br /><br /> Before we begin, let us make this historical fiction more engaging by providing our names.;Jako rodzeństwo wpływowej rodziny pochodzenia wschodnioeuropejskiego, nasza <b>{{0=|dwójka|trójka|czwórka}}</b> otrzymała niemałą część rodzinnego majątku.<br /><br /> Zanim zaczniemy, uczyńmy tę historyczną fikcję bardziej wciągającą, podając nasze imiona.
//====== Players Name Entry Screen ======;;
PlayersNameEntry_Title;Carefully pass the storybook to Player {{0=|A|B|C|D}};Ostrożnie przekaż księgę graczowi {{0=|A|B|C|D}}
PlayersNameEntry_SubTitle;Player {{0=|A|B|C|D}} – Please enter your given name:;Gracz {{0=|A|B|C|D}} - Podaj swoje imię:
PlayersNameEntry_Placeholder;Enter name...;Wprowadź imię...
PlayersNameEntry_PopUp;The name must be between 2 and 15 characters.;Imię musi zawierać od 2 do 15 znaków.
PlayersNameEntry_PopUp2;Each player name must be unique.;Każde imię gracza musi być unikatowe.
//====== Players Welcome Screen ======;;
